_num,_source,_pageUrl,site_name/_title 1,Latitude,Longitude
1,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Abu Salabikh,32.266667,45.083333
2,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Adab ,31.942344,45.625322
3,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Akkad ,31.942344,45.625322
5,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Al-Hirah,31.883333,44.45
6,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Al-Qadisiyyah ,31.75,44.133333
7,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Al-Ukhaidir Fortress,32.440556,43.602222
9,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Assur,35.456667,43.2625
10,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Babylon,32.536389,44.420833
11,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Bad-tibira,31.382778,46.004444
12,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Balawat,36.216667,43.416667
14,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Borsippa,32.391997,44.341689
15,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Choga Mami,33.88333,45.44999
16,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Citadel of Erbil,36.191,44.009
17,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Ctesiphon,33.093611,44.580556
18,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Der ,33.123611,45.931389
19,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Dilbat,32.15,44.5
20,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Dur-Kurigalzu,33.353611,44.202222
21,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Dur-Sharrukin,36.509444,43.229444
22,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Eridu,30.815833,45.996111
23,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Eshnunna,33.484167,44.728333
24,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Girsu,31.562028,46.177583
26,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Haradum,34.433333,41.6
28,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Hatra,35.588056,42.718333
30,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Hdatta,35.983,43.353
31,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Isin,31.885,45.268611
32,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Jarmo,35.548889,44.950278
33,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Jemdet Nasr,32.717,44.779
34,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Kar-Tukulti-Ninurta,35.494685,43.270008
36,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Khafajah,33.354675,44.555753
37,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Kish ,32.540278,44.60472
38,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Kisurra,31.838056,45.480556
39,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Kuara ,30.833333,46.333333
40,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Kurda,32.760028,44.612861
41,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Kutha,32.760028,44.612861
42,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Lagash,31.411389,46.407222
43,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Larak ,32.433333,45.933333
44,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Larsa,31.285833,45.853611
46,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Marad,32.092778,44.783333
47,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Mashkan-shapir,32.228528,45.306806
50,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Nemrik 9,36.716667,42.85
51,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Nimrud,36.098192,43.328769
52,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Nineveh,36.359444,43.152778
53,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Nippur,32.126444,45.233381
54,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Nuzi,35.369972,44.254917
55,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Samarra,34.198333,43.874167
56,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Seleucia,33.094444,44.522222
57,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Shaduppum,33.366667,44.466667
58,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Shanidar Cave,36.8006,44.2433
59,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Shibaniba,36.433333,43.316667
60,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Shuruppak,31.777222,45.510833
61,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Sippar,33.058829,44.252153
62,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Sippar-Amnanum,33.1,44.29
63,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Taq-i Kisra,33.085278,44.580722
64,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Tarbisu,36.383333,43.116667
65,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Tell Agrab,33.338778,44.874333
66,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Tell al-`Ubaid,30.972222,46.030556
67,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Tell al-Fakhar,35.381,43.978
68,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Tell al-Rimah,36.257086,42.449336
69,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Tell Arpachiyah,36.483333,42.95
70,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Tell Bazmusian,36.161574,44.924287
71,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Tell es-Sawwan,34.116667,43.9
72,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Tell Hassuna,36.464,42.9635
73,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Tell Ishchali,33.303056,44.58425
74,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Tell Shemshara,36.200709,44.938253
75,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Tell Taya,36.332594,42.493711
76,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Tell Uqair,32.783333,44.683333
77,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Telul eth-Thalathat,36.566667,42.533333
78,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Tepe Gawra,36.483333,43.25
79,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Umma,31.621369,45.933406
80,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Ur,30.9625,46.103056
81,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Uruk,31.322222,45.636111
82,Iraq_sites,http://en.wikipedia.org/wiki/Category:Archaeological_sites_in_Iraq,Zabala ,31.743333,45.876667
